hastalik,aciklama,cilttipi,onerilen_urun,cilt_onerilen_urun
Vitiligo,"""Yıllardır boynumda ve yüzümde hafif lekeler var, ancak son zamanlarda yayılıyor gibi görünüyorlar. Herhangi bir ağrı veya kaşıntı hissetmedim, ancak güneşe maruz kalma ve olası komplikasyonlar konusunda endişelenmeye başladım. Bu Vitiligo olabilir mi?""",tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Uyuz,"""Doktor, bileklerimde ve dirseklerimde küçük, kırmızı şişlikler fark ettim. Deli gibi kaşınıyorlar ve yatak böcekleri veya başka bir şey konusunda endişelenmeye başladım. Daha ciddi bir şey olabilir mi?""",tum,"Permetrin %5 krem, İvermektin, Antihistaminik krem",
Vitiligo,"""Doktor, dizimin etrafında son zamanlarda soluk bir leke fark ettim ve daha önce yaşadığım güneş lekelerinden farklı görünüyor. Endişelenmem gereken bir şey mi? Herhangi bir özel krem veya losyon kullanmalı mıyım?""",tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Kurdeşen (Ürtiker),"Kurdeşen, ürtiker olarak da bilinir, genellikle ciltte farklı boyutlarda ve şekillerde kabarık, kaşıntılı kabarıklıklar olarak görülür. Bu kabarıklıklar genellikle kırmızı veya pembe renktedir ve aniden ortaya çıkabilir, saatler içinde kaybolabilir veya günlerce devam edebilir. Tek tek veya küme halinde ortaya çıkabilir, vücudun farklı bölgelerine yayılabilir. Kurdeşen, cilt döküntüsünün yanı sıra yanma veya batma hissine neden olabilir ve ara sıra dudaklarda, göz kapaklarında veya boğazda şişmeye neden olarak nefes alma veya yutma zorluğuna yol açabilir. Bazı durumlarda kurdeşenlere ateş, yorgunluk veya sindirim sorunları eşlik edebilir, ancak bu sistemik semptomlar daha az yaygındır.",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Folikülit,"""Kalçalarımda oturduğumda acıyan küçük, sert şişlikler var. Kırmızı ve iltihaplı ve batık kıllardan endişeleniyorum.""",yagli,"Benzoyl Peroxide %5, Salisilik asitli temizleyici, Tea tree oil","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
Kurdeşen (Ürtiker),"""Doktor, bu sabah uyandığımda kollarım ve bacaklarım her yerinde kaşıntılı, kabarık şişliklerle kaplıydı. Yanıyorlar ve sivrisinek ısırığı gibi hissettiriyorlar, ama dışarı çıkmadım! Alerjik bir reaksiyon mu?""",hassas,"Antihistaminik krem, Seramid bariyer krem, Aloe vera jel","Termal su spreyi, Bariyer onarıcı krem, Anti-Redness krem"
Vitiligo,"""Anneciğim, kolumda neden bu beyaz lekeler var? Acımıyorlar ama cildimden farklı görünüyorlar. Bunu doktora sorabilir misin?""",tum,"SPF50+ güneş koruyucu, Kamuflaj krem, Topikal kortikosteroid",
Egzama,"""Birkaç ay önce egzama teşhisi kondu, ancak kullandığım kremler pek işe yaramadı. Cildim hala kaşınıyor ve rahatsız ve başka ne yapacağımı bilmiyorum.""",kuru,"Seramid nemlendirici, Topikal kortikosteroid krem, Lipid bariyer krem","Seramid nemlendirici, Lipid bariyer krem, Yağ bazlı temizleyici"
Saçkıran,"""Karnımda son birkaç haftadır beliren kırmızı, pullu bir leke var. Çok acı verici değil ama özellikle büyüyen bebek karnıyla birlikte oldukça can sıkıcı.""",tum,"Antifungal krem (Terbinafin), Antiseptik sabun, Çay ağacı yağı",
Atlet Ayağı (Tinea Pedis),"""Ayaklarımda kuru, pullu lekeler fark ettim ve bazen kaşınıyorlar. Ancak endişeliyim çünkü diyabet hastasıyım ve ayak sorunlarının ciddi olabileceğini biliyorum.""",yagli,"Antifungal sprey, Ayak deodorantı, Çinko pudra","Salisilik asitli temizleyici, Oil-free nemlendirici, Matlaştırıcı tonik"
