aciklama,cilttipi,cilt_problemi,onerilen_urun
Cildim kuruduğu için yüzümde pullanma ve kaşıntı başladı.,kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
"Burnumda kalın siyah noktalar oluştu, ne yaptıysam gitmiyor.",yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yeni serum kullandım, yüzümde yoğun kızarıklık yaptı.",hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde ağrılı, kırmızı sivilceler çıkmaya başladı.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yanaklarımda soluk kahverengi lekeler belirdi.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Kışın soğuğu yüzünden cildim kurudu ve pul pul dökülüyor.,kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
T bölgemde sürekli yağlanma ve gözenek tıkanması oluyor.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzümde küçük kırmızı lekeler oluştu, cildim hassas.",hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
"Çenemde iltihaplı, büyük sivilceler çıktı, çok acıyor.",yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Güneş sonrası yüzümde kahverengi noktalar fark ettim.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Nemlendirici kullanmama rağmen yanaklarımda kuruluk var.,kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
Burnumun üzerinde derin siyah noktalar birikmiş durumda.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
"Yüzüme parfümlü krem sürdüm, yanaklarım hemen kızardı.",hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
Çenemde çıkan sivilceler bazen irinli oluyor.,yağlı,sivilce,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
Yüzümde yazdan kalan küçük güneş lekeleri kaldı.,normal,leke,"hafif nemlendirici, günlük güneş kremi, C vitamini serum, nazik temizleyici, dengeli bakım rutini"
Nemlendirmeme rağmen cildim gergin ve pul pul.,kuru,pullanma,"hyaluronik asit serum, yoğun nemlendirici krem, bariyer onarıcı krem, gliserin içerikli losyon, nem maskesi"
T bölgemde gözenekler genişledi ve siyah noktalar arttı.,yağlı,siyah nokta,"salisilik asitli temizleyici, matlaştırıcı tonik, yağsız nemlendirici, kil maskesi, niasinamid serum"
En ufak temasta yanaklarım kırmızı oluyor.,hassas,kızarıklık,"parfümsüz nemlendirici, termal su spreyi, azelaik asit, sükralfat bariyer krem, anti-redness krem"
